archivo,año,categoria,num_columnas,columnas
articles-406664_recurso.xlsx,2020,administrativos,19,Código de la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal o Seccional | ID Sector IES | Sector IES | ID Caracter IES | Caracter IES | Código del departamento (IES) | Departamento de domicilio de la IES | Código del Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Técnico | Profesional | Directivo | Total
articles-406665_recurso.xlsx,2020,docentes,23,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | ID Sexo | Sexo del Docente | ID Máximo nivel de formación del docente | Máximo nivel  de formación del docente | ID Tiempo de dedicación | Tiempo de dedicación del Docente | ID Tipo de contrato | Tipo de contrato del Docente
articles-406666_recurso.xlsx,2020,admitidos,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO IES | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-406670_recurso.xlsx,2020,inscritos,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR | IES	SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO (IES) | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-406671_recurso.xlsx,2020,matriculados,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO (IES) | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-406672_recurso.xlsx,2020,primer_curso,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO (IES) | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-408968_recurso.xlsx,2020,graduados,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO (IES) | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
articles-411247_recurso.xlsx,2021,administrativos,19,Código de la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal o Seccional | ID Sector IES | Sector IES | ID Carácter IES | Carácter IES | Código del departamento (IES) | Departamento de domicilio de la IES | Código del Municipio (IES) | Municipio de domicilio de la IES | Año | Semestre | Auxiliar | Técnico | Profesional | Directivo | Total
articles-411248_recurso.xlsx,2021,docentes,23,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | ID Sexo | Sexo del Docente | ID Máximo nivel de formación del docente | Máximo nivel  de formación del docente | ID Tiempo de dedicación | Tiempo de dedicación del Docente | ID Tipo de contrato | Tipo de contrato del Docente
articles-411249_recurso.xlsx,2021,admitidos,39,CÓDIGO DE LA INSTITUCIÓN | IES_PADRE | INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES) | PRINCIPAL O SECCIONAL | ID SECTOR IES | SECTOR IES | ID CARACTER | CARACTER IES | CÓDIGO DEL DEPARTAMENTO (IES) | DEPARTAMENTO DE DOMICILIO DE LA IES | CÓDIGO DEL MUNICIPIO IES | MUNICIPIO DE DOMICILIO DE LA IES | CÓDIGO SNIES DEL PROGRAMA | PROGRAMA ACADÉMICO | ID NIVEL ACADÉMICO | NIVEL ACADÉMICO | ID NIVEL DE FORMACIÓN | NIVEL DE FORMACIÓN | ID METODOLOGÍA | METODOLOGÍA
